Gym,Number,Description,Room
Wilson,1,L F Achieve Elliptical 95XS,NULL
Wilson,2,L F Achieve Elliptical 95XS,NULL
Wilson,3,L F Achieve Elliptical 95XS,NULL
Wilson,4,L F Achieve Elliptical 95XS,NULL
Wilson,5,Elevation Series Treadmill,NULL
Wilson,6,Elevation Series Treadmill,NULL
Wilson,7,Elevation Series Treadmill,NULL
Wilson,8,Elevation Series Treadmill,NULL
Wilson,9,Jacobs Ladder,NULL
Wilson,10,Precor Stretch Trainer,NULL
Wilson,11,Elevation Series Treadmill,NULL
Wilson,12,Elevation Series Treadmill,NULL
Wilson,13,Elevation Series Treadmill,NULL
Wilson,14,Octane XT4700,NULL
Wilson,15,Octane XTONE,NULL
Wilson,16,OCTANE XT4700,NULL
Wilson,17,OCTANE XT4700,NULL
Wilson,18,95R Recumbent Bike w Explorer Console,NULL
Wilson,19,95R Recumbent Bike w Explorer Console,NULL
Wilson,20,95R Recumbent Bike w Explorer Console,NULL
Wilson,21,95R Recumbent Bike w Explorer Console,NULL
Wilson,22,95R Recumbent Bike w Explorer Console,NULL
Wilson,23,95R Recumbent Bike w Explorer Console,NULL
Wilson,24,OCTANE xRide s/n L1706PA00771-01,NULL
Wilson,25,Elevation Series Treadmill,NULL
Wilson,26,L F Achieve Elliptical 95XS,NULL
Wilson,27,Elevation Series Treadmill,NULL
Wilson,28,L F Achieve Elliptical 95XS,NULL
Wilson,29,Elevation Series Treadmill,NULL
Wilson,30,L F Achieve Elliptical 95XS,NULL
Wilson,31,Elevation Series Treadmill,NULL
Wilson,32,Concept 2 Rower,NULL
Wilson,33,Concept 2 Rower,NULL
Wilson,34,Elevation Series Treadmill,NULL
Wilson,35,Elevation Series Treadmill,NULL
Wilson,36,Octane XTONE,NULL
Wilson,37,L F Achieve Elliptical 95XS,NULL
Wilson,38,Octane XT4700,NULL
Wilson,39,8 Series Climber,NULL
Wilson,40,OCTANE XT4700,NULL
Wilson,41,8 Series Climber,NULL
Wilson,42,OCTANE XT4700,NULL
Wilson,43,Octane XTOne,NULL
Wilson,44,FR-E520 True Stretch,NULL
Wilson,45,Integrity Series Upright Lifecycle Bike,NULL
Wilson,46,Integrity Series Upright Lifecycle Bike,NULL
Wilson,47,95C Upright Bike with Explorer Console,NULL
Wilson,48,95C Upright Bike with Explorer Console,NULL
Wilson,49,95C Upright Bike with Explorer Console,NULL
Wilson,50,95C Upright Bike with Explorer Console,NULL
Wilson,51,95C Upright Bike with Explorer Console,NULL
Wilson,52,95C Upright Bike with Explorer Console,NULL
Wilson,53,95C Upright Bike with Explorer Console,NULL
Wilson,54,95C Upright Bike with Explorer Console,NULL
Wilson,55,Octane Fitness ZR8000 Free Runner,NULL
Wilson,56,Octane Fitness ZR8000 Free Runner,NULL
Wilson,57,L F Achieve Elliptical 95XS,NULL
Wilson,58,Life Fitness Stairmaster,NULL
Wilson,59,INTENZA 550CI,NULL
Wilson,60,Life Fitness Power Mill,NULL
Wilson,61,Life Fitness Power Mill,NULL
Wilson,62,Elevation Series Treadmill,NULL
Wilson,63,Elevation Series Treadmill,NULL
Wilson,64,Elevation Series Treadmill,NULL
Wilson,65,Elevation Series Treadmill,NULL
Wilson,66,IC7,NULL
Wilson,67,IC7,NULL
Wilson,68,SCIFIT Systems,NULL
Wilson,NULL,NULL,Wilson Multipurpose 110
Wilson,NULL,NULL,Wilson Multipurpose 125
Wilson,NULL,NULL,Functional Training Space
Wilson,NULL,NULL,Racquetball Court
Wilson,NULL,NULL,Spin Room
Wilson,NULL,NULL,Basketball Court 1
Wilson,NULL,NULL,Basketball Court 2
Wilson,NULL,NULL,Basketball Court 3
Wilson,NULL,NULL,Track
Wilson,NULL,NULL,Classroom 018
Wilson,NULL,NULL,Classroom 020
Wilson,NULL,NULL,Climbing Wall
Brodie,NULL,NULL,Multipurpose Room
Brodie,NULL,NULL,Upper Courts 1
Brodie,NULL,NULL,Lower Courts 1
Brodie,NULL,NULL,Lower Courts 2
Brodie,NULL,NULL,Pool
Brodie,NULL,NULL,Classroom 208
Brodie,NULL,NULL,Mind and Body Studio
Brodie,NULL,NULL,Track
Brodie,1,Life Fitness 95XS Elliptical,NULL
Brodie,2,Life Fitness 95XS Elliptical,NULL
Brodie,3,Stairmaster,NULL
Brodie,4,Life Fitness - Integrity CLSC Upright Bike,NULL
Brodie,5,Life Fitness Recumbent Bike 95Rxps,NULL
Brodie,6,Life Fitness Recumbent Bike 95Rxps,NULL
Brodie,7,Life Fitness - Integrity CLSC Upright Bike,NULL
Brodie,8,Life Fitness Upright Bike 95CXPS,NULL
Brodie,9,Life Fitness Upright Bike 95CXPS,NULL
Brodie,10,Concept II Rower,NULL
Brodie,11,Concept II Rower,NULL
Brodie,12,Life Fitness - Integrity CLSC Upright Bike,NULL
Brodie,13,IC7,NULL
Brodie,14,Octane XT4700,NULL
Brodie,15,Octane XTOne,NULL
Brodie,16,Life Fitness Treadmill,NULL
Brodie,17,Life Fitness Treadmill,NULL
Brodie,18,Life Fitness Treadmill,NULL
Brodie,19,Life Fitness Treadmill,NULL
Brodie,20,Life Fitness Treadmill,NULL
Brodie,21,Octane Pro4700,NULL
Brodie,22,Octane XT4700,NULL
Brodie,23,Octane Pro4700,NULL
Brodie,24,Octane Pro4700,NULL
Brodie,25,Life Fitness Treadmill,NULL
Brodie,26,Octane Pro4700,NULL
Brodie,27,Octane xRide,NULL
Brodie,28,Octane XT4700,NULL
Brodie,29,Octane xRide,NULL
Brodie,30,Octane Pro4700,NULL
Brodie,31,SCIFIT Systems,NULL